"project","purpose","triggers","external_systems","recommendation","target_module","status","effort","blocking_decision","notes"
"writeup-pipeline","AI discipline engine + send","48","Airtable(248)","port","wmdemo/writeups/ladder.py; TMS service","in_progress","","Write-up port plan: persisted Airtable ladder/window/dismissal/count fields versus compute on read.","Pure ladder engine built; HTTP/signature/channel work remains. Source: PORT-PLAN-WRITEUP-PIPELINE-2026-09-17.md sections 2, 5, 6. Inventory: port now; 248 Airtable references."
"end-of-shift-portal","Store closeout web + triggers","114","Blaze(1301), Airtable(73), Slack","port","wmdemo/forms.py; wmdemo/register.py; lp_api.py; jobs","in_progress","","","Closeout pipeline and register arithmetic BUILT; LP routes and jobs NEW in PORT-PLAN-EOS-AND-TIMESHEET-2026-09-17.md section 1.2. Inventory: backend job + React SPA; port now; 1301 Blaze references; 114 triggers."
"timesheet-audit","Clock audit + reports","24","Airtable(57), Slack","port","wmdemo/hr/timesheet_audit.py::audit_day(); reporting backend","","","Timesheet plan section 2.7: UTC drift versus timezone-aware daily scheduling; ladder ownership; Connecteam channel verification.","PORT-PLAN-EOS-AND-TIMESHEET-2026-09-17.md sections 2.3 and 2.6 describe audit engine to build; shared outbound/writer already built does not establish project port status. Inventory: port now."
"onboarding","Identity verification + hiring","9","Blaze(9), Airtable, Onfleet, Slack","port","wmdemo/forms_batch3_onboarding.py; S3 asset storage","in_progress","","Inventory question 6: ID-document retention period.","FORMS-MIGRATION-MATRIX-2026-09-17.md B.7: journey steps 1/2/3, SSN last-4 and acknowledgement wired; document reupload still pending attachment URL path. Partial project only. Inventory: port now."
"orders","Order lifecycle + dashboard","9","Blaze(575)","port","Order lifecycle microservice","","","Inventory question 1: Blaze API version contract.","575 Blaze refs; core revenue; rewrite as microservice; port now classification."
"delivery-ops","Call-off intake + terminal retries","9","Blaze, Airtable","port","Backend API + queue","in_progress","","","FORMS-MIGRATION-MATRIX-2026-09-17.md A.23 and B.7: ops_doc_note_upload exists but remains pending_airtable, blocked on attachment URL/upload path. Partial project only. Inventory: port now."
"driver-mgmt","Mileage, breaks, Onfleet","4","Onfleet(273), Blaze","port","TMS + microservice","","","","273 Onfleet refs; EXPIRING_LEASE pattern (§4.4); move to TMS + microservice; port now classification."
"scoreboard","Live ops KPI (Onfleet)","6","Onfleet(318), Blaze, Airtable","port","Analytics backend","","","Inventory verification: owner to decide whether Onfleet remains canonical or Blaze replaces it.","Port-now table says all Onfleet references dead; later Verification Results corrects this: LIVE syncScoreboardTasks every 10 minutes, about one Onfleet fetch per live TASKS row. Port if Onfleet remains live/canonical; retire in favor of Blaze-only queries if going dark. Recommendation retains table port subject to this decision."
"cultivation","Batch tracking (web + sheet)","4","Airtable, Slack","port","TMS batch management","","","","Small; batch management via TMS; EXPIRING_LEASE pattern; port later classification."
"spinwheel","Incentive wheel + loyalty (web)","14","Blaze(198), Onfleet(3), Airtable, Slack","port","Incentives module","","","Blaze incentives/loyalty API readiness and Phase A orders; defer to Wave 3 if not ready.","198 Blaze refs; Onfleet(3) minimal; port to incentives module; port later classification."
"promotions-engine","Promo calc + approval","4","Blaze(116), Airtable, Onfleet","port","Standalone promo service","","","","116 Blaze refs; port as standalone promo service; port later classification."
"report-builder","Flexible report generator","0","Blaze(8), Airtable","port","Reporting backend","","","","Minimal; move to reporting backend; port later classification."
"hyperassist-v2","Web-based assistant (v1 replacement)","17","Blaze, Airtable","port","Node + React; LLM backend","","","","Modern version; can port to Node + React; port later classification."
"delivery-intel","Real-time KPI dashboard (Onfleet)","6","Onfleet(110)","","","","","Port if Onfleet reactivated, otherwise retire; recommendation not resolved.","PORT LATER table is conditional: Onfleet(110) described as dead; scoreboard covers. No definite recommendation encoded."
"discord-bot","Discord slash command handler","0","Discord","keep","GAS; Node/Render only if needed later","","","","Webhook-only, minimal state; can serve from Node/Render if needed later"
"coa-sync","Legacy Airtable COA sync","0","Airtable","keep","","","","Keep now; retire when LP dashboard ships.","Last touched 08-09; marked legacy; trivial (2 files); retire when LP dashboard ships"
"airtable-patches","Util: call-off write-up snapshots","0","","keep","","","","","Not a full project; utility only; no ongoing maintenance"
"hyperassist","","","","retire","hyperassist-v2 (already moved to L-phase)","","","","DEPRECATED 08-17; v2 live 08-24"
"scoreboard-legacy","","","","retire","scoreboard (live)","","","","Identical to scoreboard (live); UI duplicated; last 08-25"
"marketing-analytics","","","Slack (unused); AlpineIQ (dead)","retire","Retire + use Blaze reports in analytics module","","","","Last 07-31; 2 endpoints only; Slack integration unused; AlpineIQ dead"
